artist_names,track_name,peak_streams,total_streams,max_peak_rank,min_peak_rank,max_days_on_chart,best_day_streams,first_appearance,uri,source,count,best_day_date,duration_ms,explicit,is_local,popularity,track_number,release_date,album_total_tracks,album_name,spotify_uri,relase-chart_days,chart-best_days,release-best_days,relase-chart_days_bins,is_colab,artist_count
"French Montana, Swae Lee",Unforgettable,3744979,1237449560,182,3,809,3744979,2017-04-09,spotify:track:3B54sVLJ402zGa6Xm4YGNe,Bad Boy Entertainment/Epic Records,809,2017-07-21,233901,True,False,85,2,2017-04-09,18,Jungle Rules,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0,103,103,0 days,True,2
Ed Sheeran,Shivers,5450839,1236107580,12,4,625,5450839,2021-09-10,spotify:track:6bQfNiqyCX7UaQSvVVGo4I,Atlantic Records UK,625,2021-10-29,207853,False,False,6,1,2021-09-10,1,Shivers,spotify:track:6bQfNiqyCX7UaQSvVVGo4I,0,49,49,0 days,False,1
SZA,Snooze,3100334,1233818376,25,25,684,3100334,2022-12-09,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Top Dawg Entertainment/RCA Records,684,2022-12-09,201800,True,False,88,8,2022-12-09,23,SOS,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,0,0,0,0 days,False,1
"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),4533018,1231072509,15,1,789,4533018,2018-04-06,spotify:track:7ef4DlsgrMEH11cDZd32M6,Sony Music UK,789,2018-04-20,214846,False,False,79,1,2018-04-06,1,One Kiss (with Dua Lipa),spotify:track:7ef4DlsgrMEH11cDZd32M6,0,14,14,0 days,True,2
"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),10977389,1226341030,1,1,627,10977389,2019-05-10,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,Atlantic Records UK,627,2019-05-10,219946,False,False,74,1,2019-05-10,1,I Don't Care (with Justin Bieber),spotify:track:3HVWdVOQ0ZA45FuZGSfvns,0,0,0,0 days,True,2
Post Malone,Better Now,6090230,1218871302,3,1,796,6090230,2018-04-27,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Republic Records,796,2018-04-30,231266,True,False,78,9,2018-04-27,18,beerbongs & bentleys,spotify:track:7dt6x5M1jzdTEt8oCbisTK,0,3,3,0 days,False,1
"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),5886504,1211151733,9,1,505,5886504,2020-04-17,spotify:track:7ytR5pFWmSjzHJIeQkgog4,South Coast Music Group/Interscope Records,505,2020-07-03,181733,True,False,74,7,2020-04-17,13,BLAME IT ON BABY,spotify:track:7ytR5pFWmSjzHJIeQkgog4,0,77,77,0 days,True,2
"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),8020169,1208278824,1,1,533,8020169,2021-03-19,spotify:track:4iJyoBOLtHqaGxP12qzhQI,RBMG/Def Jam,533,2021-04-09,198081,True,False,79,12,2021-03-19,16,Justice,spotify:track:4iJyoBOLtHqaGxP12qzhQI,0,21,21,0 days,True,3
Imagine Dragons,Thunder,3222673,1201728612,64,7,1011,3222673,2017-04-28,spotify:track:0tKcYR2II1VCQWT79i5NrW,Kid Ina Korner / Interscope,1011,2017-06-23,187146,False,False,6,9,2017-04-28,11,Evolve,spotify:track:0tKcYR2II1VCQWT79i5NrW,0,56,56,0 days,False,1
Hozier,Take Me To Church,1773250,1199716025,200,91,1152,1773250,2017-01-02,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,Universal-Island Records Ltd.,1152,2024-10-04,241688,False,False,0,1,2014-07-20,13,Hozier,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,897,2832,3729,4+ weeks,False,1
Hozier,Too Sweet,8742996,1194463659,10,2,285,8742996,2024-03-22,spotify:track:3HMY0r2BAdpasXMY8rseR0,Rubyworks / Universal-Island Records Ltd.,285,2024-04-16,251424,False,False,78,1,2024-03-22,4,Unheard,spotify:track:3HMY0r2BAdpasXMY8rseR0,0,25,25,0 days,False,1
David Kushner,Daylight,5066631,1190245171,6,4,499,5066631,2023-04-14,spotify:track:1odExI7RdWc4BT515LTAwj,"Miserable Music Group, LLC",499,2023-04-26,212953,False,False,82,1,2023-04-14,1,Daylight,spotify:track:1odExI7RdWc4BT515LTAwj,0,12,12,0 days,False,1
Djo,End of Beginning,8481534,1183095382,127,1,319,8481534,2024-02-17,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,319,2024-03-27,159245,False,False,89,6,2022-09-16,13,DECIDE,spotify:track:3qhlB30KknSejmIvZZLjOD,519,39,558,4+ weeks,False,1
Lewis Capaldi,Before You Go,2375637,1180730658,52,17,862,2375637,2019-11-20,spotify:track:7ce20yLkzuXXLUhzIDoZih,Vertigo Berlin,862,2020-02-14,215106,False,False,69,1,2019-11-19,2,Before You Go,spotify:track:7ce20yLkzuXXLUhzIDoZih,1,86,87,<1 week,False,1
Cigarettes After Sex,Apocalypse,1976939,1180345085,197,52,874,1976939,2022-07-03,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Partisan Records,874,2024-11-20,290146,False,False,5,4,2017-06-09,10,Cigarettes After Sex,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,1850,871,2721,4+ weeks,False,1
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,6793502,1180213497,9,2,488,6793502,2022-05-06,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Rimas Entertainment LLC,488,2022-05-06,258298,False,False,82,14,2022-05-06,23,Un Verano Sin Ti,spotify:track:3k3NWokhRRkEPhCzPmV8TW,0,0,0,0 days,True,2
Halsey,Without Me,4103411,1168620033,13,3,840,4103411,2018-10-05,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Capitol Records,840,2019-01-18,201660,True,False,47,1,2018-10-04,1,Without Me,spotify:track:5p7ujcrUXASCNwRaWNHR1C,1,105,106,<1 week,False,1
J. Cole,No Role Modelz,1867073,1165473688,162,60,1024,1867073,2017-01-01,spotify:track:62vpWI1CHwFy7tMIcSStl8,Roc Nation Records LLC,1024,2023-11-30,292986,True,False,9,9,2014-12-09,13,2014 Forest Hills Drive,spotify:track:62vpWI1CHwFy7tMIcSStl8,754,2524,3278,4+ weeks,False,1
d4vd,Romantic Homicide,2627379,1163150223,143,17,735,2627379,2022-09-04,spotify:track:1xK59OXxi2TAAAbmZK0kBL,Darkroom/Interscope Records,735,2022-10-21,132630,False,False,85,1,2022-07-20,1,Romantic Homicide,spotify:track:1xK59OXxi2TAAAbmZK0kBL,46,47,93,4+ weeks,False,1
Bruno Mars,That's What I Like,3487450,1158272700,171,5,836,3487450,2017-01-01,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Atlantic Records,836,2017-04-08,206693,False,False,88,4,2016-11-17,9,24K Magic,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,45,97,142,4+ weeks,False,1
"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),1928158,1154811525,138,57,981,1928158,2017-01-01,spotify:track:3bidbhpOYeV4knp8AIu8Xn,Macklemore,981,2023-12-31,258342,False,False,79,2,2012-10-09,15,The Heist,spotify:track:3bidbhpOYeV4knp8AIu8Xn,1545,2555,4100,4+ weeks,True,4
Dua Lipa,New Rules,4497944,1140631412,168,2,711,4497944,2017-07-10,spotify:track:2ekn2ttSfGqwhhate0LSR0,Urban,711,2017-12-31,209320,False,False,79,10,2017-06-02,17,Dua Lipa (Deluxe),spotify:track:2ekn2ttSfGqwhhate0LSR0,38,174,212,4+ weeks,False,1
Eminem,Mockingbird,2672455,1140505887,200,20,700,2672455,2022-10-15,spotify:track:561jH07mF1jHuk7KlaeF0s,Aftermath,700,2023-01-13,250760,True,False,85,16,2004-11-12,23,Encore (Deluxe Version),spotify:track:561jH07mF1jHuk7KlaeF0s,6546,90,6636,4+ weeks,False,1
One Direction,Night Changes,5150464,1138083892,117,6,817,5150464,2020-07-23,spotify:track:5O2P9iiztwhomNh8xkR9lJ,Syco Music,817,2024-10-18,226600,False,False,87,7,2014-11-17,16,FOUR (Deluxe),spotify:track:5O2P9iiztwhomNh8xkR9lJ,2075,1548,3623,4+ weeks,False,1
Sabrina Carpenter,Please Please Please,12835312,1126104018,9,1,208,12835312,2024-06-07,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Island Records,208,2024-06-15,186365,True,False,84,1,2024-06-06,2,Please Please Please,spotify:track:5N3hjp1WNayUPZrA8kJmJP,1,8,9,<1 week,False,1
Ariana Grande,we can't be friends (wait for your love),9432687,1117032647,5,1,299,9432687,2024-03-08,spotify:track:46kspZSY3aKmwQe7O77fCC,Republic Records,299,2024-03-15,228639,False,False,81,10,2024-03-08,13,eternal sunshine,spotify:track:46kspZSY3aKmwQe7O77fCC,0,7,7,0 days,False,1
"The Chainsmokers, Halsey",Closer,3224594,1115520872,2,2,1288,3224594,2017-01-01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Disruptor Records/Columbia,1288,2017-01-04,244960,False,False,86,1,2016-07-29,1,Closer,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,156,3,159,4+ weeks,True,2
Doja Cat,Paint The Town Red,9146029,1114143798,22,1,358,9146029,2023-08-04,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Kemosabe Records/RCA Records,358,2023-09-22,231750,True,False,79,1,2023-08-04,1,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,0,49,49,0 days,False,1
Brenda Lee,Rockin' Around The Christmas Tree,21635497,1108184436,169,2,336,21635497,2017-11-24,spotify:track:3T7dNA7O8c3Axj5WyDNcH3,MCA Nashville,336,2024-12-24,125826,False,False,0,7,1991-01-01,40,Anthology 1956-1980 (Volume 1 & 2),spotify:track:3T7dNA7O8c3Axj5WyDNcH3,9824,2587,12411,4+ weeks,False,1
Doja Cat,Woman,4541274,1107964408,63,5,534,4541274,2021-06-25,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Kemosabe Records/RCA Records,534,2021-09-17,172626,True,False,82,1,2021-06-25,14,Planet Her,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,0,84,84,0 days,False,1
Travis Scott,HIGHEST IN THE ROOM,8000249,1102157317,1,1,748,8000249,2019-10-04,spotify:track:3eekarcy7kvN4yt5ZFzltW,Cactus Jack/Epic,748,2019-10-04,175720,True,False,84,1,2019-10-04,1,HIGHEST IN THE ROOM,spotify:track:3eekarcy7kvN4yt5ZFzltW,0,0,0,0 days,False,1
