artist_names,track_name,peak_streams,total_streams,max_peak_rank,min_peak_rank,max_days_on_chart,best_day_streams,first_appearance,uri,source,count,best_day_date,duration_ms,explicit,is_local,popularity,track_number,release_date,album_total_tracks,album_name,spotify_uri,relase-chart_days,chart-best_days,release-best_days,relase-chart_days_bins,is_colab,artist_count
21 Savage,1.5,1492670,3555036,59,59,3,1492670,2018-12-21,spotify:track:2wOXxtHZgRkkrkEbKLzzqs,"Slaughter Gang, LLC/Epic Records",3,2018-12-21,148655,True,False,56,6,2018-12-21,15,i am > i was,spotify:track:2wOXxtHZgRkkrkEbKLzzqs,0,0,0,0 days,False,1
Stray Kids,Back Door,754306,3552076,140,140,5,754306,2020-09-15,spotify:track:3KUGAgxo3b81X5bWoOp0U8,Republic Records - Stray Kids,5,2020-09-15,189286,False,False,51,2,2020-09-14,17,IN LIFE,spotify:track:3KUGAgxo3b81X5bWoOp0U8,1,0,1,<1 week,False,1
Sam Smith,Palace,685450,3551925,137,134,6,685450,2017-11-03,spotify:track:3zesxb7sOGbeSwUrzLUP0f,PLG - Capitol,6,2017-11-03,187156,False,False,50,9,2017-11-03,14,The Thrill Of It All (Special Edition),spotify:track:3zesxb7sOGbeSwUrzLUP0f,0,0,0,0 days,False,1
"Natanael Cano, Junior H",Eres,2311561,3551718,42,42,2,2311561,2023-06-30,spotify:track:6GM5l4aJ9aOhGStxODvNBm,WEA Latina,2,2023-06-30,172360,True,False,0,9,2023-06-30,16,Nata Montana,spotify:track:6GM5l4aJ9aOhGStxODvNBm,0,0,0,0 days,True,2
Harry Styles,Only Angel,1134974,3550574,72,72,5,1134974,2017-05-12,spotify:track:5Lbsc65org0b85kNsPkluY,Columbia,5,2017-05-12,291080,False,False,64,6,2017-05-12,10,Harry Styles,spotify:track:5Lbsc65org0b85kNsPkluY,0,0,0,0 days,False,1
NF,Leave Me Alone,968154,3550506,103,103,5,968154,2019-07-26,spotify:track:3EtyEzMpfKSaoVhPunvbRV,NF Real Music,5,2019-07-26,308651,False,False,61,2,2019-07-26,20,The Search,spotify:track:3EtyEzMpfKSaoVhPunvbRV,0,0,0,0 days,False,1
Dyamante DJ,"Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina",1214102,3546396,163,163,5,1214102,2023-07-15,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,Virgin Music Label And Artist Services (S&D),3,2023-07-15,123786,True,False,53,1,2023-05-25,6,Ritmo dos Crias,spotify:track:0bfJWhn3r3UQBF8WYKWT4K,51,0,51,4+ weeks,False,1
"Post Malone, Hank Williams, Jr.",Finer Things (Feat. Hank Williams Jr.),2081268,3545134,65,65,2,2081268,2024-08-16,spotify:track:4Kd9tBUgpXv26OfR6ugBv1,Mercury Records / Republic Records,2,2024-08-16,185533,False,False,63,2,2024-08-15,18,F-1 Trillion,spotify:track:4Kd9tBUgpXv26OfR6ugBv1,1,0,1,<1 week,True,3
Lil Pump,Boss,652158,3540653,133,133,7,652158,2017-10-06,spotify:track:1rsAFUCa6BVMgRQ3FCQQsi,Warner Records,7,2017-10-06,106020,True,False,54,13,2017-10-06,15,Lil Pump,spotify:track:1rsAFUCa6BVMgRQ3FCQQsi,0,0,0,0 days,False,1
Camila Cabello,Inside Out,1092410,3539264,72,72,5,1092410,2018-01-12,spotify:track:5xi2SXmF3A5AIsuGXiUIZu,Syco Music/Epic,5,2018-01-12,182560,False,False,44,5,2018-01-12,11,Camila,spotify:track:5xi2SXmF3A5AIsuGXiUIZu,0,0,0,0 days,False,1
Run–D.M.C.,Christmas In Hollis,1780503,3528172,137,137,2,1780503,2023-12-25,spotify:track:41onDks2UPbyjer5fMeUWf,Arista/Legacy,2,2024-12-25,178613,False,False,55,15,1988-09-16,16,Tougher Than Leather (Expanded Edition),spotify:track:41onDks2UPbyjer5fMeUWf,12883,366,13249,4+ weeks,False,1
XXXTENTACION,Riot,934079,3526829,91,91,5,934079,2020-06-05,spotify:track:4aOOExMBUyxKnEYb39SrTg,Bad Vibes Forever / EMPIRE,5,2020-06-05,78680,True,False,72,1,2020-06-01,1,Riot,spotify:track:4aOOExMBUyxKnEYb39SrTg,4,0,4,<1 week,False,1
Brent Faiyaz,LOOSE CHANGE,1696527,3524320,44,44,3,1696527,2022-07-08,spotify:track:00imgaPlYRrMGn9o83hfmk,"Lost Kids LLC., Marketed by Venice / Stem",3,2022-07-08,226011,True,False,61,2,2022-07-08,19,WASTELAND,spotify:track:00imgaPlYRrMGn9o83hfmk,0,0,0,0 days,False,1
"Eminem, Jack Harlow, Cordae",Killer (feat. Jack Harlow & Cordae) - Remix,912256,3524254,112,112,4,912256,2021-05-30,spotify:track:7zl7kehxesNEo2pYkKXTSe,Shady/Aftermath/Interscope Records,4,2021-06-04,236665,True,False,63,1,2021-05-28,1,Killer (feat. Jack Harlow & Cordae) [Remix],spotify:track:7zl7kehxesNEo2pYkKXTSe,2,5,7,<1 week,True,3
Lil Uzi Vert,I Gotta,2247023,3522067,46,46,2,2247023,2023-06-30,spotify:track:3lcfs9Qjfxzy00VSVkixDv,Generation Now/Atlantic,2,2023-06-30,173025,True,False,54,10,2023-06-30,26,Pink Tape,spotify:track:3lcfs9Qjfxzy00VSVkixDv,0,0,0,0 days,False,1
Anne-Marie,Alarm,428293,3518987,181,165,9,428293,2017-01-01,spotify:track:0OwX5aROoW1Iip8FV51Efg,Major Tom's / Atlantic,9,2017-01-04,205593,True,False,52,1,2016-05-20,1,Alarm,spotify:track:0OwX5aROoW1Iip8FV51Efg,226,3,229,4+ weeks,False,1
"Logic, Jaden",ICONIC (ft. Jaden Smith),981592,3518124,117,117,5,981592,2018-09-28,spotify:track:1FmdAhS8FqRoEJ4jcSfuKZ,Def Jam Recordings,5,2018-09-28,298133,True,False,45,13,2018-09-28,14,YSIV,spotify:track:1FmdAhS8FqRoEJ4jcSfuKZ,0,0,0,0 days,True,2
Imagine Dragons,I’ll Make It Up To You,984019,3516038,72,72,6,984019,2017-06-23,spotify:track:54h8xHewdRPnYzmbEHBhOO,Kid Ina Korner / Interscope,6,2017-06-23,262600,False,False,0,6,2017-06-23,11,Evolve,spotify:track:54h8xHewdRPnYzmbEHBhOO,0,0,0,0 days,False,1
XXXTENTACION,Ayala (Outro),895619,3514382,173,116,6,895619,2017-08-25,spotify:track:5xbrhx2tMMcN68IT3cJbhS,Bad Vibes Forever / EMPIRE,6,2018-06-19,99706,True,False,59,11,2017-08-25,11,17,spotify:track:5xbrhx2tMMcN68IT3cJbhS,0,298,298,0 days,False,1
"J Balvin, Bad Bunny",CUIDAO POR AHÍ,1409074,3511856,63,63,4,1409074,2019-06-28,spotify:track:6SYSu569pfYdkDT9A5lZqi,Universal Music Latino / Rimas,4,2019-06-28,198320,False,False,57,3,2019-06-28,8,OASIS,spotify:track:6SYSu569pfYdkDT9A5lZqi,0,0,0,0 days,True,2
"Shablo, Geolier, Sfera Ebbasta",M' Manc (con Geolier & Sfera Ebbasta),833047,3501005,120,120,5,833047,2020-06-12,spotify:track:0MLu1cFYL4ikdRTdasCQT9,Universal Music Italia srL.,5,2020-06-12,180000,False,False,65,1,2020-06-11,1,M' Manc (con Geolier & Sfera Ebbasta),spotify:track:0MLu1cFYL4ikdRTdasCQT9,1,0,1,<1 week,True,3
"Selena Gomez, Camilo",999 (with Camilo),1137037,3494958,87,87,4,1137037,2021-08-27,spotify:track:0EtuSDTRJYUwlPf4y6coIz,Interscope Records,4,2021-08-27,224168,False,False,55,1,2021-08-26,1,999 (with Camilo),spotify:track:0EtuSDTRJYUwlPf4y6coIz,1,0,1,<1 week,True,2
"KAROL G, Aldo Ranks",WATATI (feat. Aldo Ranks) [From Barbie The Album],1239120,3494166,200,179,3,1239120,2023-07-27,spotify:track:6MZi5j60L80SZLBxN0bv8s,Atlantic Records,3,2023-07-28,166882,False,False,62,1,2023-06-01,1,WATATI (feat. Aldo Ranks) [From Barbie The Album],spotify:track:6MZi5j60L80SZLBxN0bv8s,56,1,57,4+ weeks,True,2
"Charlie Puth, French Montana",How Long - Remix,1774045,3491474,22,22,2,1774045,2017-12-12,spotify:track:6ju3FaV3aVLzGzwERKZuFK,Artist Partner,2,2017-12-13,206964,False,False,0,1,2017-10-04,1,How Long (Remix),spotify:track:6ju3FaV3aVLzGzwERKZuFK,69,1,70,4+ weeks,True,2
Sam Smith,The Thrill Of It All,661669,3490356,144,136,6,661669,2017-11-03,spotify:track:6TwcRSQgztJFw8tQDrs35D,PLG - Capitol,6,2017-11-03,208903,False,False,46,12,2017-11-03,14,The Thrill Of It All (Special Edition),spotify:track:6TwcRSQgztJFw8tQDrs35D,0,0,0,0 days,False,1
Bo Burnham,Welcome to The Internet,721516,3489320,197,189,5,721516,2021-06-14,spotify:track:25AvaE23MXl06YRtQcQoJS,Bo Burnham,5,2021-06-17,275999,True,False,0,4,2021-06-10,20,Inside (The Songs),spotify:track:25AvaE23MXl06YRtQcQoJS,4,3,7,<1 week,False,1
VÉRITÉ,Somebody Else,413081,3488819,186,168,9,413081,2017-01-03,spotify:track:34i4yxPrHWquuR4kjiivFO,VÉRITÉ,9,2017-01-16,233076,True,False,0,1,2016-09-09,1,Somebody Else,spotify:track:34i4yxPrHWquuR4kjiivFO,116,13,129,4+ weeks,False,1
"Måneskin, Tom Morello",GOSSIP (feat. Tom Morello),1248061,3488479,138,138,3,1248061,2023-01-20,spotify:track:44Xyja7xYPlVC6v2CeweSi,Epic,3,2023-01-20,168280,True,False,73,2,2023-01-20,17,RUSH!,spotify:track:44Xyja7xYPlVC6v2CeweSi,0,0,0,0 days,True,2
"Future, Metro Boomin",Drink N Dance,2255276,3487307,44,44,2,2255276,2024-04-12,spotify:track:0SdpzQRdK8BdSV57rn6AZZ,Wilburn Holding Co./Boominati/Epic/Republic,2,2024-04-12,220626,True,False,59,2,2024-04-12,25,WE STILL DON'T TRUST YOU,spotify:track:0SdpzQRdK8BdSV57rn6AZZ,0,0,0,0 days,True,2
"Luan Pereira, Gustavo Mioto",MOLETOM,1169178,3487095,188,176,3,1169178,2023-08-05,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,Som Livre,3,2023-08-12,207343,False,False,2,1,2023-06-29,1,MOLETOM,spotify:track:1mimc5QiUuwmVYdXkWvgOQ,37,7,44,4+ weeks,True,2
Migos,Auto Pilot,1487741,3486174,55,55,4,1487741,2018-01-26,spotify:track:4Kw3CztmD15X1QGDnnHmLD,"Quality Control Music, LLC",4,2018-01-26,287992,True,False,42,5,2018-01-26,24,Culture II,spotify:track:4Kw3CztmD15X1QGDnnHmLD,0,0,0,0 days,False,1
Bruce Springsteen,Born in the U.S.A.,1604326,3482335,158,108,3,1604326,2021-07-04,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,Columbia,3,2024-07-04,278680,False,False,74,1,1984-06-04,12,Born In The U.S.A.,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,13544,1096,14640,4+ weeks,False,1
Sam Smith,Scars,670640,3482298,142,141,6,670640,2017-11-03,spotify:track:6t4rYZeShwJai1YSs0tWOQ,PLG - Capitol,6,2017-11-03,183535,False,False,45,13,2017-11-03,14,The Thrill Of It All (Special Edition),spotify:track:6t4rYZeShwJai1YSs0tWOQ,0,0,0,0 days,False,1
Beyoncé,II HANDS II HEAVEN,1962373,3478610,77,77,2,1962373,2024-03-29,spotify:track:2g042sh2sg0fmOrr1lApqi,Parkwood Entertainment/Columbia,2,2024-03-29,341312,False,False,49,24,2024-03-27,27,COWBOY CARTER,spotify:track:2g042sh2sg0fmOrr1lApqi,2,0,2,<1 week,False,1
Imagine Dragons,Radioactive,592677,3477769,200,175,8,592677,2017-01-23,spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,Kid Ina Korner / Interscope,8,2018-06-21,186813,False,False,3,1,2012-09-04,20,Night Visions (Deluxe),spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,1602,514,2116,4+ weeks,False,1
Madame,VOCE,960392,3472558,90,90,4,960392,2021-03-07,spotify:track:1eIS75JS5rfbJpSu6ZC9EO,Universal Music Italia srL. (Sugar),4,2021-03-07,211410,False,False,44,1,2021-03-03,1,VOCE,spotify:track:1eIS75JS5rfbJpSu6ZC9EO,4,0,4,<1 week,False,1
Twenty One Pilots,Cut My Lip,962033,3470488,111,111,5,962033,2018-10-05,spotify:track:6gFtgkh8ShkrJn52Cbdhxy,Fueled By Ramen,5,2018-10-05,282613,False,False,60,10,2018-10-05,14,Trench,spotify:track:6gFtgkh8ShkrJn52Cbdhxy,0,0,0,0 days,False,1
Damso,DEUX TOILES DE MER,1386265,3470450,57,57,4,1386265,2020-09-18,spotify:track:7yN9Qx1HtE4c1fhakBz8Ay,Trente-quatre Centimes,4,2020-09-18,315640,True,False,0,3,2020-09-17,14,QALF,spotify:track:7yN9Qx1HtE4c1fhakBz8Ay,1,0,1,<1 week,False,1
Twenty One Pilots,Bandito,944822,3469207,118,118,5,944822,2018-10-05,spotify:track:5INKIG4QNuD4xq7qZcfPzp,Fueled By Ramen,5,2018-10-05,330986,False,False,61,11,2018-10-05,14,Trench,spotify:track:5INKIG4QNuD4xq7qZcfPzp,0,0,0,0 days,False,1
"Damso, Hamza",BXL ZOO,1404442,3464537,55,55,4,1404442,2020-09-18,spotify:track:7BO3y8lmogACezwHqZ1HTB,Trente-quatre Centimes,4,2020-09-18,201333,True,False,0,6,2020-09-17,14,QALF,spotify:track:7BO3y8lmogACezwHqZ1HTB,1,0,1,<1 week,True,2
"Future, Lil Uzi Vert",That’s It,1182212,3460352,90,90,4,1182212,2020-11-13,spotify:track:5n6gBhdEjCuj3obgCoTEFD,Generation Now/Atlantic,4,2020-11-13,228796,True,False,56,8,2020-11-13,16,Pluto x Baby Pluto,spotify:track:5n6gBhdEjCuj3obgCoTEFD,0,0,0,0 days,True,2
"Lil Uzi Vert, Gunna, Young Thug",Strawberry Peels (feat. Young Thug & Gunna),1713610,3455321,52,52,3,1713610,2020-03-13,spotify:track:4lAQfuREAHG8IC0PiiigBt,Generation Now/Atlantic,3,2020-03-13,115350,True,False,55,6,2020-03-13,32,Eternal Atake (Deluxe) - LUV vs. The World 2,spotify:track:4lAQfuREAHG8IC0PiiigBt,0,0,0,0 days,True,3
"MC Kevin o Chris, FP do Trem Bala",Vamos pra Gaiola,793650,3451240,177,141,5,793650,2019-02-23,spotify:track:7FiIQXpIeLo3ITfGGpb8PB,ADPAR Produções,5,2019-03-02,161600,True,False,66,1,2019-01-11,1,Vamos pra Gaiola,spotify:track:7FiIQXpIeLo3ITfGGpb8PB,43,7,50,4+ weeks,True,2
Lana Del Rey,Cherry,858738,3450309,103,103,6,858738,2017-07-21,spotify:track:0CYDYDMUwyFYEBMWfbxozX,Urban,6,2017-07-21,180902,True,False,50,4,2017-07-21,16,Lust For Life,spotify:track:0CYDYDMUwyFYEBMWfbxozX,0,0,0,0 days,False,1
cakal,Mahvettim,992656,3448902,128,128,4,992656,2021-10-29,spotify:track:1GWxwShcDEdSvlr0jcpYI1,Perros Blancos,4,2021-10-29,156000,False,False,0,1,2021-10-29,1,Mahvettim,spotify:track:1GWxwShcDEdSvlr0jcpYI1,0,0,0,0 days,False,1
"MEDUZA, Hozier",Tell It To My Heart,1152996,3448485,89,89,4,1152996,2021-10-29,spotify:track:46nvQpUDsxpS08UTFOeKTA,Universal-Island Records Ltd.,4,2021-10-29,165524,False,False,63,1,2021-10-29,1,Tell It To My Heart,spotify:track:46nvQpUDsxpS08UTFOeKTA,0,0,0,0 days,True,2
"Lil Uzi Vert, Pharrell Williams",Neon Guts (feat. Pharrell Williams),838418,3448068,108,108,6,838418,2017-08-25,spotify:track:1MJErNPIQUoEMu4YUUmecm,Generation Now/Atlantic,6,2017-08-25,258789,True,False,68,8,2017-08-25,16,Luv Is Rage 2,spotify:track:1MJErNPIQUoEMu4YUUmecm,0,0,0,0 days,True,2
"RM, Erykah Badu",Yun (with Erykah Badu),2229480,3446011,48,48,2,2229480,2022-12-02,spotify:track:40xpKrnumGPEvHcw1kuL9R,BIGHIT MUSIC,2,2022-12-02,233688,True,False,0,1,2022-12-02,10,Indigo,spotify:track:40xpKrnumGPEvHcw1kuL9R,0,0,0,0 days,True,2
KAROL G,Pineapple,609364,3445980,175,175,6,609364,2018-04-14,spotify:track:24snQ8Ew7aIKYCt0ulXHvx,UMLE - Latino,6,2018-04-19,178346,False,False,0,1,2018-03-02,1,Pineapple,spotify:track:24snQ8Ew7aIKYCt0ulXHvx,43,5,48,4+ weeks,False,1
Andmesh,Anugerah Terindah,1169371,3444977,185,179,3,1169371,2024-12-28,spotify:track:6gjkHuMOR0CrN7Vb2NoEdg,HITS Records,3,2024-12-30,282200,False,False,79,10,2023-09-22,13,Cinta & Doa,spotify:track:6gjkHuMOR0CrN7Vb2NoEdg,463,2,465,4+ weeks,False,1
Morgan Wallen,Born With A Beer In My Hand,2113598,3441971,47,47,2,2113598,2023-03-03,spotify:track:1BAU6v0fuAV914qMUEESR1,Big Loud Records / Mercury Records / Republic Records,2,2023-03-03,188523,False,False,60,1,2023-03-03,36,One Thing At A Time,spotify:track:1BAU6v0fuAV914qMUEESR1,0,0,0,0 days,False,1
Imagine Dragons,Rise Up,816089,3434777,96,96,6,816089,2017-06-23,spotify:track:7vAXN57IQ0sj049wZGIboE,Kid Ina Korner / Interscope,6,2017-06-23,231720,False,False,0,5,2017-06-23,11,Evolve,spotify:track:7vAXN57IQ0sj049wZGIboE,0,0,0,0 days,False,1
Zé Vaqueiro,Maravilhosa - Ao Vivo,2073538,3432218,169,51,2,2073538,2024-05-04,spotify:track:0croxrAHihVLdCAG2OooQg,Sony Music Entertainment,2,2024-05-05,115909,False,False,63,1,2024-03-28,1,Maravilhosa (Ao Vivo),spotify:track:0croxrAHihVLdCAG2OooQg,37,1,38,4+ weeks,False,1
Jonas Brothers,I Need You Christmas,1750647,3426226,117,105,2,1750647,2020-12-24,spotify:track:0viGbbEJ9xV6qNJsTaXruz,Republic Records,2,2020-12-24,206066,False,False,46,1,2020-10-30,1,I Need You Christmas,spotify:track:0viGbbEJ9xV6qNJsTaXruz,55,0,55,4+ weeks,False,1
Sam Ryder,SPACE MAN,1384130,3425544,77,77,3,1384130,2022-05-15,spotify:track:3nhGk6VnrDHy67pXvMhdPa,Parlophone UK,3,2022-05-15,217320,False,False,53,1,2022-02-22,1,SPACE MAN,spotify:track:3nhGk6VnrDHy67pXvMhdPa,82,0,82,4+ weeks,False,1
Lewis Capaldi,Pointless,1298241,3424605,154,154,3,1298241,2022-12-02,spotify:track:4JBiO7wRnE6ueszEUpo347,Vertigo Berlin,3,2022-12-02,228988,False,False,1,1,2022-12-02,2,Pointless,spotify:track:4JBiO7wRnE6ueszEUpo347,0,0,0,0 days,False,1
Aretha Franklin,I Say a Little Prayer,1391015,3421119,45,45,3,1391015,2018-08-16,spotify:track:3NfxSdJnVdon1axzloJgba,Rhino Atlantic,3,2018-08-17,216773,False,False,76,2,1968-06-14,10,Aretha Now,spotify:track:3NfxSdJnVdon1axzloJgba,18325,1,18326,4+ weeks,False,1
"RM, Anderson .Paak",Still Life (with Anderson .Paak),2175071,3418708,55,55,2,2175071,2022-12-02,spotify:track:12hD59WtTU92K1VcCXqLlw,BIGHIT MUSIC,2,2022-12-02,175328,False,False,0,2,2022-12-02,10,Indigo,spotify:track:12hD59WtTU92K1VcCXqLlw,0,0,0,0 days,True,2
Shirin David,Gib Ihm,750255,3416867,190,186,5,750255,2019-02-19,spotify:track:5iIgIxtMNeogKaFUfvuAbs,Juicy Money Records,5,2019-02-22,162996,True,False,47,1,2019-02-15,1,Gib Ihm,spotify:track:5iIgIxtMNeogKaFUfvuAbs,4,3,7,<1 week,False,1
"Joakim Lundell, Arrhult",All I Need,585586,3416261,131,131,7,585586,2017-02-14,spotify:track:6vBgJ1SLmpB4VMcEVy1ovL,Ninetone,7,2017-02-14,184000,False,False,0,1,2017-02-14,1,All I Need,spotify:track:6vBgJ1SLmpB4VMcEVy1ovL,0,0,0,0 days,True,2
"Lil Uzi Vert, Future",Wassup (feat. Future),1693078,3414338,53,53,3,1693078,2020-03-13,spotify:track:19Ec2gbNtQTE44IizcPjtD,Generation Now/Atlantic,3,2020-03-13,193313,True,False,50,5,2020-03-13,32,Eternal Atake (Deluxe) - LUV vs. The World 2,spotify:track:19Ec2gbNtQTE44IizcPjtD,0,0,0,0 days,True,2
TINI,La Triple T,882451,3411096,184,184,4,882451,2022-05-21,spotify:track:7kYbxvrGXv8cmKjkqgqhrw,Sony Music Latin,4,2022-05-21,167674,False,False,60,1,2022-05-05,1,La Triple T,spotify:track:7kYbxvrGXv8cmKjkqgqhrw,16,0,16,2-3 weeks,False,1
"Beyoncé, Shaboozey",SWEET ★ HONEY ★ BUCKIIN',1922150,3408774,81,81,2,1922150,2024-03-29,spotify:track:7CA0mEKqEZ0WFAIlTS4uEl,Parkwood Entertainment/Columbia,2,2024-03-29,296185,True,False,66,26,2024-03-29,27,COWBOY CARTER,spotify:track:7CA0mEKqEZ0WFAIlTS4uEl,0,0,0,0 days,True,2
thasup,fuck 3x,873565,3402865,115,115,5,873565,2019-11-15,spotify:track:5YxP1CkunbhUQVvctFOHa7,Epic,5,2019-11-15,161266,True,False,56,3,2019-11-15,20,23 6451,spotify:track:5YxP1CkunbhUQVvctFOHa7,0,0,0,0 days,False,1
Rauw Alejandro,Déjame Entrar,2036840,3402840,74,74,2,2036840,2024-11-15,spotify:track:5tZgkV8FTe3rtl8OcSeQAb,Sony Music Latin/Duars Entertainment,2,2024-11-15,254705,True,False,72,2,2024-11-15,18,Cosa Nuestra,spotify:track:5tZgkV8FTe3rtl8OcSeQAb,0,0,0,0 days,False,1
"Lil Tjay, Fivio Foreign, Pop Smoke",Zoo York (feat. Fivio Foreign & Pop Smoke),1075829,3401624,77,77,4,1075829,2020-05-08,spotify:track:3Ddny34bFoYBb8dIGq5lwp,Columbia,4,2020-05-08,214825,True,False,58,2,2020-05-08,7,State of Emergency,spotify:track:3Ddny34bFoYBb8dIGq5lwp,0,0,0,0 days,True,3
Tame Impala,Borderline,1189460,3389728,180,95,4,1189460,2019-04-12,spotify:track:3O8X1DE9btbzy4UH9cSX9a,Universal Music Australia Pty. Ltd.,4,2020-02-14,274293,False,False,0,1,2019-04-12,1,Borderline,spotify:track:3O8X1DE9btbzy4UH9cSX9a,0,308,308,0 days,False,1
ROSÉ,two years,1920571,3379244,98,98,2,1920571,2024-12-06,spotify:track:4HxGH28DitgAuuKpEVrLzN,Atlantic Records,2,2024-12-06,167748,False,False,74,3,2024-12-06,12,rosie,spotify:track:4HxGH28DitgAuuKpEVrLzN,0,0,0,0 days,False,1
"187 Strassenbande, Bonez MC, Gzuz",Millionär,698488,3378952,99,99,6,698488,2017-07-18,spotify:track:6mw02h3qbWmuq2bJCRjRAe,AUF!KEINEN!FALL!,6,2017-07-18,159211,True,False,61,3,2017-07-18,16,Sampler 4,spotify:track:6mw02h3qbWmuq2bJCRjRAe,0,0,0,0 days,True,3
Linkin Park,Bleed It Out,1256213,3378245,64,64,5,1256213,2017-07-21,spotify:track:3qmvK8QARSPkFTuKeIXSbs,Warner Records,5,2017-07-21,164760,True,False,30,4,2007-05-11,13,Minutes to Midnight,spotify:track:3qmvK8QARSPkFTuKeIXSbs,3724,0,3724,4+ weeks,False,1
Pop Smoke,Tunnel Vision (Outro),1189267,3377911,84,84,4,1189267,2020-07-03,spotify:track:2SxR5RitJdsG6wINvJLBSD,Victor Victor Worldwide,4,2020-07-03,132587,True,False,49,18,2020-07-03,19,Shoot For The Stars Aim For The Moon,spotify:track:2SxR5RitJdsG6wINvJLBSD,0,0,0,0 days,False,1
PNL,Deux frères,1339641,3375797,76,76,4,1339641,2019-04-05,spotify:track:6hzi3AGB39FjxFqcjgbWs7,QLF Records,4,2019-04-05,247459,True,False,66,8,2019-04-05,16,Deux frères,spotify:track:6hzi3AGB39FjxFqcjgbWs7,0,0,0,0 days,False,1
Dxrk ダーク,RAVE,913060,3374098,173,173,4,913060,2022-09-10,spotify:track:01kfSdF9zfcDLri5sSWEoL,Dxrk,4,2022-09-10,169245,False,False,73,1,2022-03-18,1,RAVE,spotify:track:01kfSdF9zfcDLri5sSWEoL,176,0,176,4+ weeks,False,1
Lynyrd Skynyrd,Sweet Home Alabama,814081,3372225,174,139,5,814081,2017-07-04,spotify:track:4CJVkjo5WpmUAKp3R44LNb,Geffen*,5,2020-07-04,281147,False,False,2,1,1974-04-15,11,Second Helping,spotify:track:4CJVkjo5WpmUAKp3R44LNb,15786,1096,16882,4+ weeks,False,1
Lil Wayne,Perfect Strangers,1300175,3369014,81,81,4,1300175,2018-09-28,spotify:track:4E3qImtJzRqLt8ZZyLceOE,"Young Money Records, Inc.",4,2018-09-28,249751,True,False,46,21,2018-09-28,23,Tha Carter V,spotify:track:4E3qImtJzRqLt8ZZyLceOE,0,0,0,0 days,False,1
Trio Vegabajeño,CANTARES DE NAVIDAD,2288178,3367001,34,34,2,2288178,2020-11-27,spotify:track:2Iv6YBslkxslMJQsxshZh5,Rimas Entertainment LLC,2,2020-11-27,199720,False,False,50,16,2020-11-27,16,EL ÚLTIMO TOUR DEL MUNDO,spotify:track:2Iv6YBslkxslMJQsxshZh5,0,0,0,0 days,False,1
Bing Crosby,God Rest Ye Merry Gentlemen,1405629,3366680,173,129,5,1405629,2017-12-25,spotify:track:1uPEDUtTJZOkj7CjGDtZGv,Geffen,3,2023-12-25,137720,False,False,0,4,1970-01-01,12,White Christmas,spotify:track:1uPEDUtTJZOkj7CjGDtZGv,17525,2191,19716,4+ weeks,False,1
Nicki Minaj,Are You Gone Already,2083965,3363750,62,62,2,2083965,2023-12-08,spotify:track:1WTdZjiHI4vYnENXLn69x0,Republic Records,2,2023-12-08,270860,False,False,54,1,2023-12-08,22,Pink Friday 2,spotify:track:1WTdZjiHI4vYnENXLn69x0,0,0,0,0 days,False,1
"Future, Metro Boomin",Out Of My Hands,2158092,3362897,50,50,2,2158092,2024-04-12,spotify:track:2BOpFmZQ89Rjm2wvmud1MU,Wilburn Holding Co./Boominati/Epic/Republic,2,2024-04-12,243040,True,False,65,3,2024-04-12,25,WE STILL DON'T TRUST YOU,spotify:track:2BOpFmZQ89Rjm2wvmud1MU,0,0,0,0 days,True,2
La Mosca,"Muchachos, Ahora Nos Volvimos a Ilusionar",2286538,3361671,35,35,2,2286538,2022-12-18,spotify:track:79d6fVzRM6DRYxR302AJFY,Sony Music Argentina,2,2022-12-18,141237,False,False,51,1,2022-11-11,1,"Muchachos, Ahora Nos Volvimos a Ilusionar",spotify:track:79d6fVzRM6DRYxR302AJFY,37,0,37,4+ weeks,False,1
Trippie Redd,Under Enemy Arms,1205548,3357096,72,72,4,1205548,2019-05-31,spotify:track:1NF9EkR5OpMaoVWbsllcm9,"TenThousand Projects, LLC",4,2019-05-31,162461,True,False,0,1,2019-05-29,1,Under Enemy Arms,spotify:track:1NF9EkR5OpMaoVWbsllcm9,2,0,2,<1 week,False,1
"Joji, Lil Yachty",Pretty Boy (feat. Lil Yachty),1071453,3356352,102,102,4,1071453,2020-09-25,spotify:track:0f1G5SHFoFC9lO03gHCGVS,88rising Music,4,2020-09-25,156759,True,False,1,11,2020-09-25,18,Nectar,spotify:track:0f1G5SHFoFC9lO03gHCGVS,0,0,0,0 days,True,2
"Lil Baby, Meek Mill",Time (feat. Meek Mill),1154652,3353874,80,80,4,1154652,2018-11-30,spotify:track:1Szfm2XAx3Kgl55dyl8sTU,Quality Control Music/Motown Records/Capitol Records,4,2018-11-30,182723,True,False,56,4,2018-11-30,13,Street Gossip,spotify:track:1Szfm2XAx3Kgl55dyl8sTU,0,0,0,0 days,True,2
